year,dhw,site_name
2013,0,Broward County A
2014,1.15,Broward County A
2015,0.75,Broward County A
2016,0,Broward County A
2017,0,Broward County A
2018,0,Broward County A
2019,0.29,Broward County A
2020,0,Broward County A
2021,0,Broward County A
2022,2.49,Broward County A
2023,11.34,Broward County A
2024,3.49,Broward County A
2025,6.35,Broward County A
1986,0,John U. Lloyd Beach State Park
1987,0.46,John U. Lloyd Beach State Park
1988,0,John U. Lloyd Beach State Park
1989,0,John U. Lloyd Beach State Park
1990,0,John U. Lloyd Beach State Park
1991,0,John U. Lloyd Beach State Park
1992,0,John U. Lloyd Beach State Park
1993,0,John U. Lloyd Beach State Park
1994,0,John U. Lloyd Beach State Park
1995,0,John U. Lloyd Beach State Park
1996,0,John U. Lloyd Beach State Park
1997,0.74,John U. Lloyd Beach State Park
1998,0.68,John U. Lloyd Beach State Park
1999,0.15,John U. Lloyd Beach State Park
2000,0,John U. Lloyd Beach State Park
2001,0,John U. Lloyd Beach State Park
2002,0,John U. Lloyd Beach State Park
2003,0,John U. Lloyd Beach State Park
2004,0,John U. Lloyd Beach State Park
2005,2.93,John U. Lloyd Beach State Park
2006,0,John U. Lloyd Beach State Park
2007,0.3,John U. Lloyd Beach State Park
2008,0,John U. Lloyd Beach State Park
2009,0,John U. Lloyd Beach State Park
2010,0.15,John U. Lloyd Beach State Park
2011,0.17,John U. Lloyd Beach State Park
2012,0,John U. Lloyd Beach State Park
2013,0,John U. Lloyd Beach State Park
2014,1.13,John U. Lloyd Beach State Park
2015,0.92,John U. Lloyd Beach State Park
2016,0,John U. Lloyd Beach State Park
2017,0.14,John U. Lloyd Beach State Park
2018,0,John U. Lloyd Beach State Park
2019,0.14,John U. Lloyd Beach State Park
2020,0,John U. Lloyd Beach State Park
2021,0,John U. Lloyd Beach State Park
2022,2.6,John U. Lloyd Beach State Park
2023,10.43,John U. Lloyd Beach State Park
2024,3.38,John U. Lloyd Beach State Park
2025,5.92,John U. Lloyd Beach State Park
1986,0,Broward County 3
1987,0.31,Broward County 3
1988,0,Broward County 3
1989,0,Broward County 3
1990,0,Broward County 3
1991,0,Broward County 3
1992,0,Broward County 3
1993,0,Broward County 3
1994,0,Broward County 3
1995,0,Broward County 3
1996,0,Broward County 3
1997,0.73,Broward County 3
1998,0.68,Broward County 3
1999,0.15,Broward County 3
2000,0,Broward County 3
2001,0,Broward County 3
2002,0,Broward County 3
2003,0,Broward County 3
2004,0,Broward County 3
2005,2.79,Broward County 3
2006,0,Broward County 3
2007,0.31,Broward County 3
2008,0,Broward County 3
2009,0,Broward County 3
2010,0.16,Broward County 3
2011,0.31,Broward County 3
2012,0,Broward County 3
2013,0,Broward County 3
2014,1.16,Broward County 3
2015,0.46,Broward County 3
2016,0,Broward County 3
2017,0,Broward County 3
2018,0,Broward County 3
2019,0.29,Broward County 3
2020,0,Broward County 3
2021,0,Broward County 3
2022,2.18,Broward County 3
2023,10.86,Broward County 3
2024,3.49,Broward County 3
2025,6.14,Broward County 3
1986,0,Rock Key Shallow
1987,0.32,Rock Key Shallow
1988,0,Rock Key Shallow
1989,0.15,Rock Key Shallow
1990,0,Rock Key Shallow
1991,1.53,Rock Key Shallow
1992,0,Rock Key Shallow
1993,0.96,Rock Key Shallow
1994,0,Rock Key Shallow
1995,0,Rock Key Shallow
1996,0,Rock Key Shallow
1997,4.03,Rock Key Shallow
1998,2.11,Rock Key Shallow
1999,1.51,Rock Key Shallow
2000,0.68,Rock Key Shallow
2001,0,Rock Key Shallow
2002,0,Rock Key Shallow
2003,0.5,Rock Key Shallow
2004,1.22,Rock Key Shallow
2005,5.85,Rock Key Shallow
2006,0.14,Rock Key Shallow
2007,6.13,Rock Key Shallow
2008,0.78,Rock Key Shallow
2009,3.2,Rock Key Shallow
2010,3.37,Rock Key Shallow
2011,5.56,Rock Key Shallow
2012,0.75,Rock Key Shallow
2013,0.14,Rock Key Shallow
2014,6.83,Rock Key Shallow
2015,8,Rock Key Shallow
2016,1.79,Rock Key Shallow
2017,1.98,Rock Key Shallow
2018,2.53,Rock Key Shallow
2019,4.19,Rock Key Shallow
2020,4.67,Rock Key Shallow
2021,3.83,Rock Key Shallow
2022,7.2,Rock Key Shallow
2023,18.39,Rock Key Shallow
2024,11.09,Rock Key Shallow
2025,8.51,Rock Key Shallow
1986,0,Sand Key Shallow
1987,0.32,Sand Key Shallow
1988,0,Sand Key Shallow
1989,0.15,Sand Key Shallow
