year,dhw,site_name
2025,6.61,Temptation Rock
1986,0,The Maze
1987,0.3,The Maze
1988,0,The Maze
1989,0,The Maze
1990,0,The Maze
1991,1.54,The Maze
1992,0,The Maze
1993,0.31,The Maze
1994,0,The Maze
1995,0,The Maze
1996,0,The Maze
1997,3.92,The Maze
1998,2.6,The Maze
1999,1.8,The Maze
2000,0.73,The Maze
2001,0,The Maze
2002,0,The Maze
2003,0.14,The Maze
2004,0.45,The Maze
2005,0.75,The Maze
2006,0,The Maze
2007,0.8,The Maze
2008,0,The Maze
2009,0.86,The Maze
2010,1,The Maze
2011,4.04,The Maze
2012,0,The Maze
2013,0,The Maze
2014,3.56,The Maze
2015,6.53,The Maze
2016,0,The Maze
2017,0.47,The Maze
2018,0,The Maze
2019,1.68,The Maze
2020,0.92,The Maze
2021,0.46,The Maze
2022,3.73,The Maze
2023,14.27,The Maze
2024,6.71,The Maze
2025,6.61,The Maze
1986,0,Dade County 4
1987,0.65,Dade County 4
1988,0,Dade County 4
1989,0,Dade County 4
1990,0,Dade County 4
1991,0,Dade County 4
1992,0,Dade County 4
1993,0,Dade County 4
1994,0,Dade County 4
1995,0,Dade County 4
1996,0,Dade County 4
1997,2.34,Dade County 4
1998,1.25,Dade County 4
1999,0.64,Dade County 4
2000,0,Dade County 4
2001,0,Dade County 4
2002,0,Dade County 4
2003,0,Dade County 4
2004,0.44,Dade County 4
2005,3.26,Dade County 4
2006,0,Dade County 4
2007,0.14,Dade County 4
2008,0,Dade County 4
2009,0,Dade County 4
2010,0.83,Dade County 4
2011,0.9,Dade County 4
2012,0,Dade County 4
2013,0,Dade County 4
2014,2.38,Dade County 4
2015,1.36,Dade County 4
2016,0,Dade County 4
2017,0.63,Dade County 4
2018,0,Dade County 4
2019,0.61,Dade County 4
2020,0.3,Dade County 4
2021,0.14,Dade County 4
2022,3.06,Dade County 4
2023,13.09,Dade County 4
2024,4.72,Dade County 4
2025,7.33,Dade County 4
1986,0,Dade County 8
1987,0.65,Dade County 8
1988,0,Dade County 8
1989,0,Dade County 8
1990,0,Dade County 8
1991,0,Dade County 8
1992,0,Dade County 8
1993,0,Dade County 8
1994,0,Dade County 8
1995,0,Dade County 8
1996,0,Dade County 8
1997,2.64,Dade County 8
1998,1.83,Dade County 8
1999,0.65,Dade County 8
2000,0,Dade County 8
2001,0,Dade County 8
2002,0,Dade County 8
2003,0,Dade County 8
2004,0.62,Dade County 8
2005,3.72,Dade County 8
2006,0,Dade County 8
2007,0.14,Dade County 8
2008,0,Dade County 8
2009,0,Dade County 8
2010,1.32,Dade County 8
2011,0.8,Dade County 8
2012,0,Dade County 8
2013,0,Dade County 8
2014,1.84,Dade County 8
2015,1.69,Dade County 8
2016,0.15,Dade County 8
2017,1.26,Dade County 8
2018,0,Dade County 8
2019,0.76,Dade County 8
2020,0.75,Dade County 8
2021,0.76,Dade County 8
2022,3.66,Dade County 8
2023,12.59,Dade County 8
2024,5.41,Dade County 8
2025,7.48,Dade County 8
1986,0,Little Africa
1987,0.3,Little Africa
1988,0,Little Africa
1989,0,Little Africa
1990,0,Little Africa
1991,1.54,Little Africa
1992,0,Little Africa
1993,0.31,Little Africa
1994,0,Little Africa
1995,0,Little Africa
1996,0,Little Africa
1997,3.92,Little Africa
1998,2.6,Little Africa
1999,1.8,Little Africa
2000,0.73,Little Africa
2001,0,Little Africa
2002,0,Little Africa
2003,0.14,Little Africa
2004,0.45,Little Africa
2005,0.75,Little Africa
2006,0,Little Africa
2007,0.8,Little Africa
2008,0,Little Africa
2009,0.86,Little Africa
2010,1,Little Africa
2011,4.04,Little Africa
2012,0,Little Africa
2013,0,Little Africa
2014,3.56,Little Africa
2015,6.53,Little Africa
2016,0,Little Africa
2017,0.47,Little Africa
2018,0,Little Africa
2019,1.68,Little Africa
2020,0.92,Little Africa
2021,0.46,Little Africa
2022,3.73,Little Africa
2023,14.27,Little Africa
2024,6.71,Little Africa
2025,6.61,Little Africa
1986,0,Loggerhead Patch
1987,0.3,Loggerhead Patch
1988,0,Loggerhead Patch
1989,0,Loggerhead Patch
1990,0,Loggerhead Patch
1991,1.54,Loggerhead Patch
1992,0,Loggerhead Patch
1993,0.31,Loggerhead Patch
1994,0,Loggerhead Patch
1995,0,Loggerhead Patch
1996,0,Loggerhead Patch
1997,3.92,Loggerhead Patch
1998,2.6,Loggerhead Patch
1999,1.8,Loggerhead Patch
2000,0.73,Loggerhead Patch
2001,0,Loggerhead Patch
2002,0,Loggerhead Patch
2003,0.14,Loggerhead Patch
2004,0.45,Loggerhead Patch
2005,0.75,Loggerhead Patch
2006,0,Loggerhead Patch
2007,0.8,Loggerhead Patch
2008,0,Loggerhead Patch
2009,0.86,Loggerhead Patch
2010,1,Loggerhead Patch
2011,4.04,Loggerhead Patch
2012,0,Loggerhead Patch
2013,0,Loggerhead Patch
2014,3.56,Loggerhead Patch
2015,6.53,Loggerhead Patch
2016,0,Loggerhead Patch
2017,0.47,Loggerhead Patch
2018,0,Loggerhead Patch
2019,1.68,Loggerhead Patch
2020,0.92,Loggerhead Patch
2021,0.46,Loggerhead Patch
2022,3.73,Loggerhead Patch
2023,14.27,Loggerhead Patch
2024,6.71,Loggerhead Patch
2025,6.61,Loggerhead Patch
1986,0,Palmata Patch
1987,0.3,Palmata Patch
1988,0,Palmata Patch
1989,0,Palmata Patch
1990,0,Palmata Patch
1991,1.56,Palmata Patch
1992,0,Palmata Patch
1993,0.31,Palmata Patch
1994,0,Palmata Patch
1995,0,Palmata Patch
1996,0,Palmata Patch
1997,3.94,Palmata Patch
1998,2.61,Palmata Patch
1999,1.96,Palmata Patch
2000,0.73,Palmata Patch
2001,0,Palmata Patch
2002,0,Palmata Patch
2003,0.14,Palmata Patch
2004,0.29,Palmata Patch
2005,0.91,Palmata Patch
2006,0,Palmata Patch
2007,0.96,Palmata Patch
2008,0,Palmata Patch
2009,0.72,Palmata Patch
2010,1,Palmata Patch
2011,4.03,Palmata Patch
2012,0,Palmata Patch
2013,0,Palmata Patch
2014,3.9,Palmata Patch
2015,6.47,Palmata Patch
2016,0,Palmata Patch
2017,0.47,Palmata Patch
2018,0,Palmata Patch
2019,1.69,Palmata Patch
2020,0.92,Palmata Patch
2021,0.46,Palmata Patch
2022,4.04,Palmata Patch
2023,14.35,Palmata Patch
2024,6.82,Palmata Patch
2025,6.57,Palmata Patch
1986,0,Prolifera Patch
1987,0.3,Prolifera Patch
1988,0,Prolifera Patch
1989,0,Prolifera Patch
1990,0,Prolifera Patch
1991,1.56,Prolifera Patch
1992,0,Prolifera Patch
1993,0.31,Prolifera Patch
1994,0,Prolifera Patch
1995,0,Prolifera Patch
1996,0,Prolifera Patch
1997,3.94,Prolifera Patch
1998,2.61,Prolifera Patch
1999,1.96,Prolifera Patch
2000,0.73,Prolifera Patch
2001,0,Prolifera Patch
2002,0,Prolifera Patch
2003,0.14,Prolifera Patch
2004,0.29,Prolifera Patch
2005,0.91,Prolifera Patch
2006,0,Prolifera Patch
2007,0.96,Prolifera Patch
2008,0,Prolifera Patch
2009,0.72,Prolifera Patch
2010,1,Prolifera Patch
2011,4.03,Prolifera Patch
2012,0,Prolifera Patch
2013,0,Prolifera Patch
2014,3.9,Prolifera Patch
2015,6.47,Prolifera Patch
2016,0,Prolifera Patch
2017,0.47,Prolifera Patch
2018,0,Prolifera Patch
2019,1.69,Prolifera Patch
2020,0.92,Prolifera Patch
2021,0.46,Prolifera Patch
2022,4.04,Prolifera Patch
2023,14.35,Prolifera Patch
2024,6.82,Prolifera Patch
2025,6.57,Prolifera Patch
1986,0,White Shoal
1987,0.3,White Shoal
1988,0,White Shoal
1989,0,White Shoal
1990,0,White Shoal
1991,1.56,White Shoal
1992,0,White Shoal
1993,0.31,White Shoal
1994,0,White Shoal
1995,0,White Shoal
1996,0,White Shoal
1997,3.94,White Shoal
1998,2.61,White Shoal
1999,1.96,White Shoal
2000,0.73,White Shoal
2001,0,White Shoal
2002,0,White Shoal
2003,0.14,White Shoal
2004,0.29,White Shoal
2005,0.91,White Shoal
2006,0,White Shoal
2007,0.96,White Shoal
2008,0,White Shoal
2009,0.72,White Shoal
2010,1,White Shoal
2011,4.03,White Shoal
2012,0,White Shoal
2013,0,White Shoal
2014,3.9,White Shoal
2015,6.47,White Shoal
2016,0,White Shoal
2017,0.47,White Shoal
2018,0,White Shoal
2019,1.69,White Shoal
2020,0.92,White Shoal
2021,0.46,White Shoal
2022,4.04,White Shoal
2023,14.35,White Shoal
2024,6.82,White Shoal
2025,6.57,White Shoal
1986,0,Windjammer
1987,0.3,Windjammer
1988,0,Windjammer
1989,0,Windjammer
1990,0,Windjammer
1991,1.54,Windjammer
1992,0,Windjammer
1993,0.31,Windjammer
1994,0,Windjammer
1995,0,Windjammer
1996,0,Windjammer
1997,3.92,Windjammer
1998,2.6,Windjammer
1999,1.8,Windjammer
2000,0.73,Windjammer
2001,0,Windjammer
2002,0,Windjammer
2003,0.14,Windjammer
2004,0.45,Windjammer
2005,0.75,Windjammer
2006,0,Windjammer
2007,0.8,Windjammer
2008,0,Windjammer
2009,0.86,Windjammer
2010,1,Windjammer
2011,4.04,Windjammer
2012,0,Windjammer
2013,0,Windjammer
2014,3.56,Windjammer
2015,6.53,Windjammer
2016,0,Windjammer
2017,0.47,Windjammer
2018,0,Windjammer
2019,1.68,Windjammer
2020,0.92,Windjammer
2021,0.46,Windjammer
2022,3.73,Windjammer
2023,14.27,Windjammer
2024,6.71,Windjammer
2025,6.61,Windjammer
1986,0,Dade County 1
1987,0.49,Dade County 1
1988,0,Dade County 1
1989,0,Dade County 1
1990,0,Dade County 1
1991,0,Dade County 1
1992,0,Dade County 1
1993,0,Dade County 1
1994,0,Dade County 1
1995,0,Dade County 1
1996,0,Dade County 1
1997,1.52,Dade County 1
1998,1.14,Dade County 1
1999,0.63,Dade County 1
2000,0,Dade County 1
2001,0,Dade County 1
2002,0,Dade County 1
2003,0,Dade County 1
2004,0,Dade County 1
2005,3.06,Dade County 1
2006,0,Dade County 1
2007,0,Dade County 1
2008,0,Dade County 1
2009,0,Dade County 1
2010,0.62,Dade County 1
2011,0.32,Dade County 1
2012,0,Dade County 1
2013,0,Dade County 1
2014,1.44,Dade County 1
2015,1.07,Dade County 1
2016,0,Dade County 1
2017,0.5,Dade County 1
2018,0,Dade County 1
2019,0,Dade County 1
2020,0.15,Dade County 1
2021,0,Dade County 1
2022,2.94,Dade County 1
2023,11.14,Dade County 1
2024,3.78,Dade County 1
2025,6.83,Dade County 1
1986,0,Dade County 2
1987,0.49,Dade County 2
1988,0,Dade County 2
1989,0,Dade County 2
1990,0,Dade County 2
1991,0,Dade County 2
1992,0,Dade County 2
1993,0,Dade County 2
1994,0,Dade County 2
1995,0,Dade County 2
1996,0,Dade County 2
1997,1.37,Dade County 2
1998,0.99,Dade County 2
1999,0.62,Dade County 2
2000,0,Dade County 2
2001,0,Dade County 2
2002,0,Dade County 2
2003,0,Dade County 2
2004,0,Dade County 2
2005,2.99,Dade County 2
2006,0,Dade County 2
2007,0.14,Dade County 2
2008,0,Dade County 2
2009,0,Dade County 2
2010,0.47,Dade County 2
2011,0.45,Dade County 2
2012,0,Dade County 2
2013,0,Dade County 2
2014,1.44,Dade County 2
2015,1.05,Dade County 2
2016,0,Dade County 2
2017,0.16,Dade County 2
2018,0,Dade County 2
2019,0,Dade County 2
2020,0,Dade County 2
2021,0,Dade County 2
2022,2.31,Dade County 2
2023,11.62,Dade County 2
2024,3.64,Dade County 2
2025,6.57,Dade County 2
1986,0,Dade County 6
1987,0.47,Dade County 6
1988,0,Dade County 6
1989,0,Dade County 6
1990,0,Dade County 6
1991,0,Dade County 6
1992,0,Dade County 6
1993,0,Dade County 6
1994,0,Dade County 6
1995,0,Dade County 6
1996,0,Dade County 6
1997,1.04,Dade County 6
1998,0.67,Dade County 6
1999,0.44,Dade County 6
2000,0,Dade County 6
2001,0,Dade County 6
2002,0,Dade County 6
2003,0,Dade County 6
2004,0,Dade County 6
2005,3.11,Dade County 6
2006,0,Dade County 6
2007,0.29,Dade County 6
2008,0,Dade County 6
2009,0,Dade County 6
2010,0.15,Dade County 6
2011,0.16,Dade County 6
2012,0,Dade County 6
2013,0,Dade County 6
2014,1.13,Dade County 6
2015,1.22,Dade County 6
2016,0,Dade County 6
2017,0.15,Dade County 6
2018,0,Dade County 6
2019,0.14,Dade County 6
2020,0,Dade County 6
2021,0,Dade County 6
2022,2.44,Dade County 6
2023,10.37,Dade County 6
2024,3.2,Dade County 6
2025,6.11,Dade County 6
1986,0,Dade County 7
1987,0.47,Dade County 7
1988,0,Dade County 7
1989,0,Dade County 7
1990,0,Dade County 7
1991,0,Dade County 7
1992,0,Dade County 7
1993,0,Dade County 7
1994,0,Dade County 7
1995,0,Dade County 7
1996,0,Dade County 7
1997,1.04,Dade County 7
1998,0.68,Dade County 7
1999,0.44,Dade County 7
2000,0,Dade County 7
2001,0,Dade County 7
2002,0,Dade County 7
2003,0,Dade County 7
2004,0,Dade County 7
2005,3.12,Dade County 7
2006,0,Dade County 7
2007,0.3,Dade County 7
2008,0,Dade County 7
2009,0,Dade County 7
2010,0.15,Dade County 7
2011,0.16,Dade County 7
2012,0,Dade County 7
2013,0,Dade County 7
2014,1.42,Dade County 7
2015,1.2,Dade County 7
2016,0,Dade County 7
2017,0.15,Dade County 7
2018,0,Dade County 7
2019,0.15,Dade County 7
2020,0,Dade County 7
2021,0,Dade County 7
2022,2.32,Dade County 7
2023,11.23,Dade County 7
2024,3.57,Dade County 7
2025,6.23,Dade County 7
1986,0,Black Coral Rock
1987,0.31,Black Coral Rock
1988,0,Black Coral Rock
1989,0,Black Coral Rock
1990,0,Black Coral Rock
1991,1.53,Black Coral Rock
1992,0,Black Coral Rock
1993,0.61,Black Coral Rock
1994,0,Black Coral Rock
1995,0,Black Coral Rock
1996,0,Black Coral Rock
1997,3.89,Black Coral Rock
1998,2.58,Black Coral Rock
1999,1.47,Black Coral Rock
2000,0.71,Black Coral Rock
2001,0,Black Coral Rock
2002,0,Black Coral Rock
2003,0,Black Coral Rock
2004,0.46,Black Coral Rock
2005,0.48,Black Coral Rock
2006,0,Black Coral Rock
2007,0.79,Black Coral Rock
2008,0,Black Coral Rock
2009,0.85,Black Coral Rock
2010,1.01,Black Coral Rock
2011,4.13,Black Coral Rock
2012,0,Black Coral Rock
2013,0,Black Coral Rock
2014,2.62,Black Coral Rock
2015,6.52,Black Coral Rock
2016,0,Black Coral Rock
2017,0.33,Black Coral Rock
2018,0,Black Coral Rock
2019,1.69,Black Coral Rock
2020,0.76,Black Coral Rock
2021,0,Black Coral Rock
2022,2.74,Black Coral Rock
2023,14.65,Black Coral Rock
2024,6.9,Black Coral Rock
2025,6.77,Black Coral Rock
1986,0,Leah's Lump
1987,0.15,Leah's Lump
1988,0,Leah's Lump
1989,0,Leah's Lump
1990,0,Leah's Lump
1991,1.58,Leah's Lump
1992,0,Leah's Lump
1993,0.46,Leah's Lump
1994,0,Leah's Lump
1995,0,Leah's Lump
1996,0,Leah's Lump
1997,3.94,Leah's Lump
1998,2.43,Leah's Lump
1999,1.81,Leah's Lump
2000,0.74,Leah's Lump
2001,0,Leah's Lump
2002,0,Leah's Lump
2003,0,Leah's Lump
2004,0,Leah's Lump
2005,1.08,Leah's Lump
2006,0,Leah's Lump
2007,1.3,Leah's Lump
2008,0,Leah's Lump
2009,0.86,Leah's Lump
2010,0.99,Leah's Lump
2011,3.94,Leah's Lump
2012,0,Leah's Lump
2013,0,Leah's Lump
2014,4.21,Leah's Lump
2015,6.18,Leah's Lump
2016,0,Leah's Lump
2017,0.32,Leah's Lump
2018,0,Leah's Lump
2019,1.72,Leah's Lump
2020,1.08,Leah's Lump
2021,0.61,Leah's Lump
2022,3.66,Leah's Lump
2023,15.13,Leah's Lump
2024,6.03,Leah's Lump
2025,6.32,Leah's Lump
1986,0,Okay Every Time
1987,0.31,Okay Every Time
1988,0,Okay Every Time
1989,0,Okay Every Time
1990,0,Okay Every Time
1991,1.53,Okay Every Time
1992,0,Okay Every Time
1993,0.61,Okay Every Time
1994,0,Okay Every Time
1995,0,Okay Every Time
1996,0,Okay Every Time
1997,3.89,Okay Every Time
1998,2.58,Okay Every Time
1999,1.47,Okay Every Time
2000,0.71,Okay Every Time
2001,0,Okay Every Time
2002,0,Okay Every Time
2003,0,Okay Every Time
2004,0.46,Okay Every Time
2005,0.48,Okay Every Time
2006,0,Okay Every Time
2007,0.79,Okay Every Time
2008,0,Okay Every Time
2009,0.85,Okay Every Time
2010,1.01,Okay Every Time
2011,4.13,Okay Every Time
2012,0,Okay Every Time
2013,0,Okay Every Time
2014,2.62,Okay Every Time
2015,6.52,Okay Every Time
2016,0,Okay Every Time
2017,0.33,Okay Every Time
2018,0,Okay Every Time
2019,1.69,Okay Every Time
2020,0.76,Okay Every Time
2021,0,Okay Every Time
2022,2.74,Okay Every Time
2023,14.65,Okay Every Time
2024,6.9,Okay Every Time
2025,6.77,Okay Every Time
1986,0,Dade County 3
1987,0.49,Dade County 3
1988,0,Dade County 3
1989,0,Dade County 3
1990,0,Dade County 3
1991,0,Dade County 3
1992,0,Dade County 3
1993,0,Dade County 3
1994,0,Dade County 3
1995,0,Dade County 3
1996,0,Dade County 3
1997,1.37,Dade County 3
1998,0.99,Dade County 3
1999,0.62,Dade County 3
2000,0,Dade County 3
2001,0,Dade County 3
2002,0,Dade County 3
2003,0,Dade County 3
2004,0,Dade County 3
2005,2.99,Dade County 3
2006,0,Dade County 3
2007,0.14,Dade County 3
2008,0,Dade County 3
2009,0,Dade County 3
2010,0.47,Dade County 3
2011,0.45,Dade County 3
2012,0,Dade County 3
2013,0,Dade County 3
2014,1.44,Dade County 3
2015,1.05,Dade County 3
2016,0,Dade County 3
2017,0.16,Dade County 3
2018,0,Dade County 3
2019,0,Dade County 3
2020,0,Dade County 3
2021,0,Dade County 3
2022,2.31,Dade County 3
2023,11.62,Dade County 3
2024,3.64,Dade County 3
2025,6.57,Dade County 3
1986,0,Dade County 5
1987,0.65,Dade County 5
1988,0,Dade County 5
1989,0,Dade County 5
1990,0,Dade County 5
1991,0,Dade County 5
1992,0,Dade County 5
1993,0,Dade County 5
1994,0,Dade County 5
1995,0,Dade County 5
1996,0,Dade County 5
1997,2.34,Dade County 5
1998,1.25,Dade County 5
1999,0.64,Dade County 5
2000,0,Dade County 5
2001,0,Dade County 5
2002,0,Dade County 5
2003,0,Dade County 5
2004,0.44,Dade County 5
2005,3.26,Dade County 5
2006,0,Dade County 5
2007,0.14,Dade County 5
2008,0,Dade County 5
2009,0,Dade County 5
2010,0.83,Dade County 5
2011,0.9,Dade County 5
2012,0,Dade County 5
2013,0,Dade County 5
2014,2.38,Dade County 5
2015,1.36,Dade County 5
2016,0,Dade County 5
2017,0.63,Dade County 5
2018,0,Dade County 5
2019,0.61,Dade County 5
2020,0.3,Dade County 5
2021,0.14,Dade County 5
2022,3.06,Dade County 5
2023,13.09,Dade County 5
2024,4.72,Dade County 5
2025,7.33,Dade County 5
1986,0,Bird Key Reef
1987,0.3,Bird Key Reef
1988,0,Bird Key Reef
1989,0,Bird Key Reef
1990,0,Bird Key Reef
1991,1.56,Bird Key Reef
1992,0,Bird Key Reef
1993,0.31,Bird Key Reef
1994,0,Bird Key Reef
1995,0,Bird Key Reef
1996,0,Bird Key Reef
1997,3.94,Bird Key Reef
1998,2.61,Bird Key Reef
1999,1.96,Bird Key Reef
2000,0.73,Bird Key Reef
2001,0,Bird Key Reef
2002,0,Bird Key Reef
2003,0.14,Bird Key Reef
2004,0.29,Bird Key Reef
2005,0.91,Bird Key Reef
2006,0,Bird Key Reef
2007,0.96,Bird Key Reef
2008,0,Bird Key Reef
2009,0.72,Bird Key Reef
2010,1,Bird Key Reef
2011,4.03,Bird Key Reef
2012,0,Bird Key Reef
2013,0,Bird Key Reef
2014,3.9,Bird Key Reef
2015,6.47,Bird Key Reef
2016,0,Bird Key Reef
2017,0.47,Bird Key Reef
2018,0,Bird Key Reef
2019,1.69,Bird Key Reef
2020,0.92,Bird Key Reef
2021,0.46,Bird Key Reef
2022,4.04,Bird Key Reef
2023,14.35,Bird Key Reef
2024,6.82,Bird Key Reef
2025,6.57,Bird Key Reef
1986,0,Magic Castles
1987,0.3,Magic Castles
1988,0,Magic Castles
1989,0,Magic Castles
1990,0,Magic Castles
1991,1.56,Magic Castles
1992,0,Magic Castles
1993,0.31,Magic Castles
1994,0,Magic Castles
1995,0,Magic Castles
1996,0,Magic Castles
1997,3.94,Magic Castles
1998,2.61,Magic Castles
1999,1.96,Magic Castles
2000,0.73,Magic Castles
2001,0,Magic Castles
2002,0,Magic Castles
2003,0.14,Magic Castles
2004,0.29,Magic Castles
2005,0.91,Magic Castles
2006,0,Magic Castles
2007,0.96,Magic Castles
2008,0,Magic Castles
2009,0.72,Magic Castles
2010,1,Magic Castles
2011,4.03,Magic Castles
2012,0,Magic Castles
2013,0,Magic Castles
2014,3.9,Magic Castles
2015,6.47,Magic Castles
2016,0,Magic Castles
2017,0.47,Magic Castles
2018,0,Magic Castles
2019,1.69,Magic Castles
2020,0.92,Magic Castles
2021,0.46,Magic Castles
2022,4.04,Magic Castles
2023,14.35,Magic Castles
2024,6.82,Magic Castles
2025,6.57,Magic Castles
1986,0,Lion's Den
1987,0.15,Lion's Den
1988,0,Lion's Den
1989,0.15,Lion's Den
1990,0,Lion's Den
1991,1.51,Lion's Den
1992,0,Lion's Den
1993,0.63,Lion's Den
1994,0,Lion's Den
1995,0,Lion's Den
1996,0,Lion's Den
1997,4.22,Lion's Den
1998,2.02,Lion's Den
1999,1.95,Lion's Den
2000,0.7,Lion's Den
2001,0,Lion's Den
2002,0,Lion's Den
2003,1.15,Lion's Den
2004,1.19,Lion's Den
2005,5.68,Lion's Den
2006,0.15,Lion's Den
2007,6.74,Lion's Den
2008,0.83,Lion's Den
2009,3.15,Lion's Den
2010,1.74,Lion's Den
2011,5.28,Lion's Den
2012,0,Lion's Den
2013,0,Lion's Den
2014,7.46,Lion's Den
2015,8.5,Lion's Den
2016,0,Lion's Den
2017,2.04,Lion's Den
2018,1.26,Lion's Den
2019,4.24,Lion's Den
2020,4.26,Lion's Den
2021,2.25,Lion's Den
2022,5.71,Lion's Den
2023,18.06,Lion's Den
2024,10.65,Lion's Den
2025,7.58,Lion's Den
1986,0,Sponge Bath
1987,0.14,Sponge Bath
1988,0,Sponge Bath
1989,0,Sponge Bath
1990,0,Sponge Bath
1991,1.48,Sponge Bath
1992,0,Sponge Bath
1993,0.48,Sponge Bath
1994,0,Sponge Bath
1995,0,Sponge Bath
1996,0,Sponge Bath
1997,4.03,Sponge Bath
1998,1.99,Sponge Bath
1999,2.25,Sponge Bath
2000,0.7,Sponge Bath
2001,0,Sponge Bath
2002,0,Sponge Bath
2003,0.99,Sponge Bath
2004,1.15,Sponge Bath
2005,5.39,Sponge Bath
2006,0.15,Sponge Bath
2007,5.5,Sponge Bath
2008,0.66,Sponge Bath
2009,2.89,Sponge Bath
2010,1.41,Sponge Bath
2011,4.96,Sponge Bath
2012,0,Sponge Bath
2013,0,Sponge Bath
2014,7.03,Sponge Bath
2015,8.59,Sponge Bath
2016,0,Sponge Bath
2017,2.14,Sponge Bath
2018,0.61,Sponge Bath
2019,3.7,Sponge Bath
2020,3.29,Sponge Bath
2021,2.1,Sponge Bath
2022,5.41,Sponge Bath
2023,17.36,Sponge Bath
2024,10.39,Sponge Bath
2025,7.67,Sponge Bath
1986,0,Jaap Reef
1987,0.36,Jaap Reef
1988,0,Jaap Reef
1989,0,Jaap Reef
1990,0,Jaap Reef
1991,1.86,Jaap Reef
1992,0,Jaap Reef
1993,0.94,Jaap Reef
1994,0,Jaap Reef
1995,0,Jaap Reef
1996,0,Jaap Reef
1997,4.09,Jaap Reef
1998,2.1,Jaap Reef
1999,1.72,Jaap Reef
2000,1.05,Jaap Reef
2001,0,Jaap Reef
2002,0,Jaap Reef
2003,0.92,Jaap Reef
2004,2.62,Jaap Reef
2005,6.19,Jaap Reef
2006,0,Jaap Reef
2007,7.5,Jaap Reef
2008,0.32,Jaap Reef
2009,4.35,Jaap Reef
2010,5.32,Jaap Reef
2011,5.75,Jaap Reef
2012,1.48,Jaap Reef
2013,0,Jaap Reef
2014,6.68,Jaap Reef
2015,8.03,Jaap Reef
2016,4.8,Jaap Reef
2017,3.28,Jaap Reef
2018,3.98,Jaap Reef
2019,6.27,Jaap Reef
2020,7.34,Jaap Reef
2021,4.4,Jaap Reef
2022,7.97,Jaap Reef
2023,20.53,Jaap Reef
2024,10.64,Jaap Reef
2025,10.69,Jaap Reef
1986,0,Looe Key Deep
1987,0.52,Looe Key Deep
1988,0,Looe Key Deep
1989,0,Looe Key Deep
1990,0,Looe Key Deep
1991,1.58,Looe Key Deep
1992,0,Looe Key Deep
1993,0.78,Looe Key Deep
1994,0,Looe Key Deep
1995,0,Looe Key Deep
1996,0,Looe Key Deep
1997,3.82,Looe Key Deep
1998,2.01,Looe Key Deep
1999,1.74,Looe Key Deep
2000,1.01,Looe Key Deep
2001,0,Looe Key Deep
2002,0,Looe Key Deep
2003,0.15,Looe Key Deep
2004,1.37,Looe Key Deep
2005,4.53,Looe Key Deep
2006,0,Looe Key Deep
2007,4.16,Looe Key Deep
2008,0,Looe Key Deep
2009,1.15,Looe Key Deep
2010,3.17,Looe Key Deep
2011,4.6,Looe Key Deep
2012,0.71,Looe Key Deep
2013,0,Looe Key Deep
2014,5.19,Looe Key Deep
2015,6.47,Looe Key Deep
2016,2.69,Looe Key Deep
2017,1.5,Looe Key Deep
2018,3.18,Looe Key Deep
2019,3.81,Looe Key Deep
2020,4.37,Looe Key Deep
2021,2.68,Looe Key Deep
2022,5.56,Looe Key Deep
2023,17.97,Looe Key Deep
2024,8.71,Looe Key Deep
2025,8.72,Looe Key Deep
1986,0,Looe Key Shallow
1987,0.52,Looe Key Shallow
1988,0,Looe Key Shallow
1989,0,Looe Key Shallow
1990,0,Looe Key Shallow
1991,1.58,Looe Key Shallow
1992,0,Looe Key Shallow
1993,0.78,Looe Key Shallow
1994,0,Looe Key Shallow
1995,0,Looe Key Shallow
1996,0,Looe Key Shallow
1997,3.82,Looe Key Shallow
1998,2.01,Looe Key Shallow
1999,1.74,Looe Key Shallow
2000,1.01,Looe Key Shallow
2001,0,Looe Key Shallow
2002,0,Looe Key Shallow
2003,0.15,Looe Key Shallow
2004,1.37,Looe Key Shallow
2005,4.53,Looe Key Shallow
2006,0,Looe Key Shallow
2007,4.16,Looe Key Shallow
2008,0,Looe Key Shallow
2009,1.15,Looe Key Shallow
2010,3.17,Looe Key Shallow
2011,4.6,Looe Key Shallow
2012,0.71,Looe Key Shallow
2013,0,Looe Key Shallow
2014,5.19,Looe Key Shallow
2015,6.47,Looe Key Shallow
2016,2.69,Looe Key Shallow
2017,1.5,Looe Key Shallow
2018,3.18,Looe Key Shallow
2019,3.81,Looe Key Shallow
2020,4.37,Looe Key Shallow
2021,2.68,Looe Key Shallow
2022,5.56,Looe Key Shallow
2023,17.97,Looe Key Shallow
2024,8.71,Looe Key Shallow
2025,8.72,Looe Key Shallow
1986,0,Martin County 1
1987,0.3,Martin County 1
1988,0,Martin County 1
1989,0,Martin County 1
1990,0,Martin County 1
1991,0,Martin County 1
1992,0,Martin County 1
1993,0,Martin County 1
1994,0,Martin County 1
1995,0,Martin County 1
1996,0,Martin County 1
1997,0.44,Martin County 1
1998,0.88,Martin County 1
1999,0,Martin County 1
2000,0,Martin County 1
2001,0,Martin County 1
2002,0,Martin County 1
2003,0,Martin County 1
2004,0,Martin County 1
2005,1.43,Martin County 1
2006,0,Martin County 1
2007,0,Martin County 1
2008,0,Martin County 1
2009,0.16,Martin County 1
2010,0.14,Martin County 1
2011,0,Martin County 1
