juv_ids,recruit_map
PAST,PORI
SSID,SIDE
SMIC,Other
EFAS,Other
ORBI,FAVI
UNKS,UNKS
AAGA,AGAR
ODIF,Other
PAME,Other
MUSS,Other
SCUB,Other
CNAT,FAVI
MCAV,FAVI
DSTO,Other
PPOR,PORI
SIDE,SIDE
SRAD,SIDE
NA,NA
DIPL,FAVI
PORI,PORI
DLAB,FAVI
MYLA,Other
SCOL,Other
AGAR,AGAR
MYCE,Other
FFRA,FAVI
AFRA,AGAR
MDEC,Other
DSTR,FAVI
ACER,Other
ASOL,Other
MARE,Other
MMIR,Other
MMEA,Other
ALAM,AGAR
DTSO,Other
