"term","estimate","conf.low","conf.high","p.value","taxa","response"
"sst_mean_region",-5.22950269671433,-10.2178077159262,-0.241197677502511,0.0408082914004962,"AGAR","Recruits"
"sst_mean_dev",5.79279451190948,-0.550564444365082,12.136153468184,0.0712731008126494,"AGAR","Recruits"
"dhw_log_region",-0.640732953403418,-1.31706388832642,0.0355979815195812,0.0620922397061444,"AGAR","Recruits"
"dhw_log_dev",-0.864124472344953,-2.53396665082974,0.805717706139833,0.293228191918165,"AGAR","Recruits"
"kd_log_region",5.25157111827205,-7.78328792496718,18.2864301615113,0.410615233497073,"AGAR","Recruits"
"kd_log_dev",-1.17910002395399,-2.71601907790797,0.357819029999981,0.125206250761433,"AGAR","Recruits"
"depth_region",0.277123638430238,-1.06330078778354,1.61754806464402,0.557551939696493,"AGAR","Recruits"
"depth_dev",0.0126326818135747,-0.0507671584079763,0.0760325220351256,0.68454542471032,"AGAR","Recruits"
"adult_density_log_region",1.38915967760666,0.425030833050377,2.35328852216294,0.00698805023900106,"AGAR","Recruits"
"adult_density_log_dev",0.238565814073094,0.120174393392905,0.356957234753284,0.000437288545535581,"AGAR","Recruits"
"macroalgae_sqrt_region",-1.79155517279863,-7.23937661264959,3.65626626705233,0.500598807807275,"AGAR","Recruits"
"macroalgae_sqrt_dev",1.40594225060927,-1.45701281034089,4.26889731155944,0.317888741373577,"AGAR","Recruits"
"sst_mean_region",-1.38765044489112,-4.61764061924429,1.84233972946205,0.380827466218066,"FAVI","Recruits"
"sst_mean_dev",1.57829358408198,-3.1024869924542,6.25907416061815,0.489940722507764,"FAVI","Recruits"
"dhw_log_region",0.180221568572783,-0.503830269787904,0.86427340693347,0.588697901253121,"FAVI","Recruits"
"dhw_log_dev",0.133091784841989,-1.06950510490264,1.33568867458661,0.819773195007603,"FAVI","Recruits"
"kd_log_region",-2.30444030648226,-8.28989574608597,3.68101513312146,0.431352684886403,"FAVI","Recruits"
"kd_log_dev",-0.263435352882697,-1.55143672340959,1.0245660176442,0.674196756682533,"FAVI","Recruits"
"depth_region",-0.18388793830624,-0.589922161131657,0.222146284519177,0.245158549558126,"FAVI","Recruits"
"depth_dev",0.0334511627540702,-0.0150629504295346,0.081965275937675,0.167580823168971,"FAVI","Recruits"
"adult_density_log_region",-0.270511536496312,-1.00640158052954,0.465378507536918,0.452160173978861,"FAVI","Recruits"
"adult_density_log_dev",0.0293047192238288,-0.0719111383909135,0.130520576838571,0.552671274778304,"FAVI","Recruits"
"macroalgae_sqrt_region",-1.07530336086275,-4.01599508882562,1.86538836710012,0.4545093373893,"FAVI","Recruits"
"macroalgae_sqrt_dev",-0.0625575899446632,-2.18466885443078,2.05955367454145,0.95157775749805,"FAVI","Recruits"
"sst_mean_region",-4.63801373312469,-8.61243650541968,-0.663590960829705,0.0244186056805829,"PORI","Recruits"
"sst_mean_dev",3.69987212660648,-3.3515678747757,10.7513121279887,0.286742736407021,"PORI","Recruits"
"dhw_log_region",0.446799831643332,-0.214360147217654,1.10795981050432,0.17400252533909,"PORI","Recruits"
"dhw_log_dev",-0.0840394534303921,-1.9075619508882,1.73948304402742,0.924370612723775,"PORI","Recruits"
"kd_log_region",2.00516458188821,-8.94629014065092,12.9566193044273,0.706540463387777,"PORI","Recruits"
"kd_log_dev",-0.570933608534212,-2.26694887165956,1.12508165459113,0.490645081232705,"PORI","Recruits"
"depth_region",-0.0870572619650819,-1.60842239899283,1.43430787506267,0.867107224699385,"PORI","Recruits"
"depth_dev",0.0101046874945282,-0.063639051794423,0.0838484267834795,0.779751660673301,"PORI","Recruits"
"adult_density_log_region",-0.306952352207384,-2.30646983793762,1.69256513352285,0.752120764821576,"PORI","Recruits"
"adult_density_log_dev",0.465082418977984,0.238246964806299,0.691917873149669,0.000368240239484774,"PORI","Recruits"
"macroalgae_sqrt_region",5.59003647438046,-0.350886997944132,11.5309599467051,0.0637352418685442,"PORI","Recruits"
"macroalgae_sqrt_dev",0.140339604015524,-3.05288136472321,3.33356057275426,0.927867115545367,"PORI","Recruits"
"sst_mean_region",-0.284988176952317,-3.19601957286174,2.62604321895711,0.840249600935671,"SIDE","Recruits"
"sst_mean_dev",-2.36734281257933,-9.12349436093725,4.38880873577858,0.473306204979237,"SIDE","Recruits"
"dhw_log_region",0.482517970023403,-0.0188045432777138,0.98384048332452,0.0583747938959236,"SIDE","Recruits"
"dhw_log_dev",-0.0786309165609098,-1.88235304129562,1.7250912081738,0.928448950431007,"SIDE","Recruits"
"kd_log_region",4.05313971665503,-0.00999439431278137,8.11627382762283,0.0505141186698004,"SIDE","Recruits"
"kd_log_dev",1.49772812940728,-0.453599733711239,3.44905599252579,0.125039899426816,"SIDE","Recruits"
"depth_region",0.318274420710586,-0.1494716423411,0.786020483762273,0.118961414683032,"SIDE","Recruits"
"depth_dev",0.0453522808223226,-0.022449047748745,0.11315360939339,0.180143434939542,"SIDE","Recruits"
"adult_density_log_region",0.115175127265066,-0.267441004685733,0.497791259215865,0.53716300657334,"SIDE","Recruits"
"adult_density_log_dev",-0.163920989547357,-0.448961288743105,0.121119309648391,0.244315066479069,"SIDE","Recruits"
"macroalgae_sqrt_region",-3.52803897923108,-7.3301011887591,0.27402323029693,0.0671787084968503,"SIDE","Recruits"
"macroalgae_sqrt_dev",0.601593357339963,-2.49436184265324,3.69754855733317,0.689533795665203,"SIDE","Recruits"
"sst_mean_region",-5.55248263852024,-10.6192004559002,-0.485764821140281,0.0333019755739103,"OCTO","Recruits"
"sst_mean_dev",9.16909929889852,-1.0541449940244,19.3923435918214,0.0760674014022472,"OCTO","Recruits"
"dhw_log_region",-0.642542029090552,-1.32527547175795,0.0401914135768506,0.0636850181890188,"OCTO","Recruits"
"dhw_log_dev",0.175265401447321,-2.39509883650382,2.74562963939846,0.888317041976031,"OCTO","Recruits"
"kd_log_region",-1.82980442388327,-11.1810853578243,7.52147651005775,0.68748619723774,"OCTO","Recruits"
"kd_log_dev",1.45351526704433,-1.08115170778637,3.98818224187504,0.24560611667527,"OCTO","Recruits"
"depth_region",-0.219502995766366,-0.78737544990572,0.348369458372988,0.306314019231259,"OCTO","Recruits"
"depth_dev",0.122524752516904,0.0179623682027443,0.227087136831064,0.0235382057477113,"OCTO","Recruits"
"adult_density_log_region",1.28666817685949,-1.69484608272456,4.26818243644355,0.378728633981029,"OCTO","Recruits"
"adult_density_log_dev",0.487463476725133,-0.420635047739223,1.39556200118949,0.276093604741085,"OCTO","Recruits"
"macroalgae_sqrt_region",-1.35585694910147,-6.87540984461283,4.16369594640989,0.61397740480151,"OCTO","Recruits"
"macroalgae_sqrt_dev",1.46520270308986,-3.1591931208169,6.08959852699662,0.516204820140707,"OCTO","Recruits"
