"term","estimate","conf.low","conf.high","p.value","taxa","response"
"sst_mean_region",0.132381481522329,-0.913594746280001,1.17835770932466,0.794477304934999,"AGAR","Juveniles"
"sst_mean_dev",0.187207899002402,-2.72910526239223,3.10352106039704,0.894816003764549,"AGAR","Juveniles"
"dhw_log_region",-0.0188107272659087,-0.167400790440171,0.129779335908354,0.794426315034973,"AGAR","Juveniles"
"dhw_log_dev",0.0747288986960048,-0.505110903452056,0.654568700844066,0.790809658039774,"AGAR","Juveniles"
"kd_log_region",0.200446507689742,-1.93171386656318,2.33260688194267,0.84650800660277,"AGAR","Juveniles"
"kd_log_dev",-0.605281481296569,-1.76781591534889,0.557252952755757,0.290364980430945,"AGAR","Juveniles"
"depth_region",-0.162143347744147,-0.366084922277307,0.0417982267890134,0.0854093227084505,"AGAR","Juveniles"
"depth_dev",0.0039292702554739,-0.0473052644045595,0.0551638049155073,0.875557200843142,"AGAR","Juveniles"
"recruit_density_log_region",0.0365997284495124,-0.112071875622768,0.185271332521793,0.613214839437991,"AGAR","Juveniles"
"recruit_density_log_dev",0.0677868108639664,-0.038495416204021,0.174069037931954,0.198349263345449,"AGAR","Juveniles"
"macroalgae_sqrt_region",-0.0812453790484039,-1.17641008821805,1.01391933012124,0.878570768865481,"AGAR","Juveniles"
"macroalgae_sqrt_dev",-0.0289881789898997,-1.09634318854059,1.03836683056079,0.955384217877323,"AGAR","Juveniles"
"sst_mean_region",-0.154278791291112,-1.07404250401927,0.765484921437051,0.730075836015815,"FAVI","Juveniles"
"sst_mean_dev",-1.13066840285258,-3.32744337453321,1.06610656882806,0.29577019377638,"FAVI","Juveniles"
"dhw_log_region",0.0203371049317799,-0.111874609759806,0.152548819623366,0.75163939322082,"FAVI","Juveniles"
"dhw_log_dev",-0.0742917973503395,-0.567244285279483,0.418660690578804,0.756495132002746,"FAVI","Juveniles"
"kd_log_region",-1.64147824749824,-3.74536081140756,0.462404316411086,0.119283810407746,"FAVI","Juveniles"
"kd_log_dev",-0.317465512399422,-1.06392530178711,0.428994276988267,0.38554264329609,"FAVI","Juveniles"
"depth_region",-0.0302392808361109,-0.230542004626518,0.170063442954296,0.663768231399816,"FAVI","Juveniles"
"depth_dev",0.0230411336261609,-0.00943349240141656,0.0555157596537383,0.156072396265841,"FAVI","Juveniles"
"recruit_density_log_region",-0.254886458933338,-0.825224694456388,0.315451776589713,0.362338080504081,"FAVI","Juveniles"
"recruit_density_log_dev",-0.0622730977097209,-0.18877244070172,0.0642262452822781,0.316738019212584,"FAVI","Juveniles"
"macroalgae_sqrt_region",-0.445135547701688,-1.82382526345885,0.933554168055469,0.508343364396464,"FAVI","Juveniles"
"macroalgae_sqrt_dev",0.454032268919773,-0.44335506267444,1.35141960051399,0.303829458856419,"FAVI","Juveniles"
"sst_mean_region",-1.52939444902135,-3.67328762457997,0.614498726537265,0.152331097626276,"PORI","Juveniles"
"sst_mean_dev",-1.16924917740636,-5.37908768191724,3.04058932710453,0.568815484816229,"PORI","Juveniles"
"dhw_log_region",0.0565272534236667,-0.208386908417216,0.32144141526455,0.661026173803914,"PORI","Juveniles"
"dhw_log_dev",0.379627490175189,-0.543564012836166,1.30281899318654,0.40118035413191,"PORI","Juveniles"
"kd_log_region",-1.15408968438482,-4.25440507658512,1.94622570781547,0.446541701101016,"PORI","Juveniles"
"kd_log_dev",-0.410339657364338,-1.83593056019452,1.01525124546585,0.554969663060607,"PORI","Juveniles"
"depth_region",-0.262216648157805,-0.508399428039017,-0.0160338682765925,0.0427837274015542,"PORI","Juveniles"
"depth_dev",-0.0488943847752958,-0.110699368492492,0.0129105989418999,0.115571010458452,"PORI","Juveniles"
"recruit_density_log_region",-0.0642460933375167,-0.43616465054226,0.307672463867227,0.722374679174012,"PORI","Juveniles"
"recruit_density_log_dev",0.126550066285087,-0.0258697394505617,0.278969872020735,0.098684323641049,"PORI","Juveniles"
"macroalgae_sqrt_region",2.09428638905248,-0.388319927337806,4.57689270544276,0.093749788647248,"PORI","Juveniles"
"macroalgae_sqrt_dev",0.27929383132926,-1.41785827541726,1.97644593807578,0.734970723515314,"PORI","Juveniles"
"sst_mean_region",-1.83631955022984,-3.68757353986076,0.0149344394010718,0.051703980745108,"SIDE","Juveniles"
"sst_mean_dev",0.442599437650976,-2.59222041827068,3.47741929357263,0.764104620063311,"SIDE","Juveniles"
"dhw_log_region",0.332826075662827,-0.0508717611468939,0.716523912472548,0.0854452860709303,"SIDE","Juveniles"
"dhw_log_dev",-0.0430987752179337,-0.647346292623001,0.561148742187134,0.883213909904401,"SIDE","Juveniles"
"kd_log_region",-1.84902994433984,-5.57431723092703,1.87625734224735,0.312858730599858,"SIDE","Juveniles"
"kd_log_dev",0.660421376335771,-0.740759734325166,2.06160248699671,0.337263415211438,"SIDE","Juveniles"
"depth_region",-0.163734202839818,-0.528867326302762,0.201398920623125,0.248834419100374,"SIDE","Juveniles"
"depth_dev",0.0459548177869342,-0.0173644322138907,0.109274067787759,0.1471966874298,"SIDE","Juveniles"
"recruit_density_log_region",-0.334498441291846,-0.793748052430499,0.124751169846807,0.144330793657157,"SIDE","Juveniles"
"recruit_density_log_dev",-0.0478819638318445,-0.14583351064845,0.0500695829847614,0.320053431343025,"SIDE","Juveniles"
"macroalgae_sqrt_region",0.84503531524716,-0.78576366757915,2.47583429807347,0.292608416924972,"SIDE","Juveniles"
"macroalgae_sqrt_dev",-0.825835127195333,-1.90764789996629,0.255977645575624,0.126980866055608,"SIDE","Juveniles"
